session_id,user_id,track_id,session_intent,mood_pre,mood_post,efficacy_rating,completed,oracle_score,efficacy_label
4c204506-b499-4dbf-883f-8d3ac200c037,f11b52b0-5380-4a8d-aafa-606cc315e0ec,synth:track:7e4bc4fb-67b2-4471-910b-515d6c9f4d54,sleep_induction,62.0,48.1,2,True,-1.5573,-1
db2b1834-63e5-47bf-98f5-d59bab304785,e019d471-cfb7-41e1-8021-b540f150fc8d,synth:track:adb7b449-5e3f-4e38-b183-4841dfd03061,deep_focus,39.9,44.2,5,True,0.3828,0
3b8e53e3-b3ef-470a-84b8-f7344850e293,5c281977-a8eb-45a9-ad0d-c22f2226b1e8,synth:track:2a58824c-ddcb-4eba-96ba-0ea6575f8359,mood_uplift,41.2,39.9,5,False,1.3006,0
38d83bbb-85d4-4054-b6c6-8025cef3681a,c6f0b1a5-ffe6-4435-acc5-32913a4bf04e,synth:track:942003bd-9415-4b7a-91e3-7a8f3cd7fdb1,sleep_induction,38.8,26.9,1,True,-1.916,-1
74f08555-1863-4135-854f-9b23231eb560,8681343d-dca5-4176-b44f-4be298ebb242,synth:track:2b29c411-1e1c-46fe-b059-7d824f653371,grief_processing,50.9,44.6,2,True,0.0871,-1
1d185c6a-e4f6-42d9-9e0f-ad0d7ab7fa3c,5c247c53-d6d0-4d15-8a09-fb72a6f6b0c7,synth:track:2432f49d-3354-48a2-8192-5126cc4bd4f2,anxiety_relief,49.3,31.7,3,True,-1.0063,-1
3d50f1df-a589-4cdb-945b-b75eaed0c379,3da3ae3a-447e-43a4-b7b4-d32d86aba887,synth:track:1b60d8ac-dd4a-4c3b-87f3-2291afe4627d,mood_uplift,39.4,26.8,2,True,-0.4586,-1
c1380166-0e46-4808-80e3-3e7397731ecd,ab298b1d-ec5f-403b-9cc2-fb92f87584ed,synth:track:4331dfba-0283-462e-ba6a-700e9d240efa,anxiety_relief,43.2,30.1,3,True,-1.3171,-1
9e98c1c2-96c7-44cd-b8a3-642a0ddcfbb0,f11b52b0-5380-4a8d-aafa-606cc315e0ec,synth:track:3b6023c0-333b-4706-90ff-5508a237361f,sleep_induction,53.2,57.9,5,True,0.3834,0
c9893c08-f279-467a-a6ce-039772085a3a,11316df9-d470-4512-84cd-44144e9dc8eb,synth:track:cdf28daf-de4a-4145-80a8-1ea0a6217175,deep_focus,13.8,0.0,2,False,0.1858,-1
817f45d9-c235-48cd-9241-f4387565f87d,d74c3ef7-06bd-4b5c-a8f8-e9e407c18568,synth:track:bbe8aad4-1d2c-4c69-bf0a-3af7651d4028,anxiety_relief,55.3,43.5,2,True,-0.8798,-1
2120f8d6-6be1-4548-8682-fa4485f24c52,68e01156-fd95-417d-90b9-c332b17361b0,synth:track:6a195c6d-12ba-43e7-9b03-e0d8c35d3477,anxiety_relief,16.8,1.0,3,True,-1.1207,-1
b6600aee-dc5d-4e4c-a7cd-d11463ec9f3e,c142c34a-fdad-4a46-a41c-3c457cd7f69f,synth:track:f43762cc-6d48-46d1-8b0e-85eb7d8047d8,grief_processing,41.3,28.8,2,True,-0.4803,-1
78729b3d-3720-42b5-9ba5-cea3f3980140,aefe99d5-a5f3-4dc8-b943-265ce9ec765d,synth:track:0afbb601-8f9a-4169-99a7-0847e19d96b3,deep_focus,34.2,46.8,8,True,1.8252,1
8543e2b5-7fb1-4544-9d29-603a5557698c,ed328f38-f659-4fbe-9603-4981a6ac4887,synth:track:f7fd96b2-a79b-498e-8740-0d22bf59e4f4,sleep_induction,30.6,21.8,2,True,-1.6867,-1
4f2536b6-78f4-4844-afc7-d517398d630d,adbcb5f4-af1e-43fa-a298-b975cf11dde2,synth:track:88495686-5f2f-490b-bfb8-28024b3f081a,mood_uplift,65.6,64.1,6,True,0.8378,0
7f609ab7-94b0-4266-9157-98db015b3f56,9368208d-6219-4ae0-bef9-001ead3e7b23,synth:track:b50d855e-7551-49ee-b6fc-959d866b368f,anxiety_relief,65.1,47.3,2,True,-0.8816,-1
3219d994-fd5f-4d74-9c64-934f5bb48178,c9103b47-9c24-4443-bbe6-cec8d0991aa1,synth:track:451c24e1-640b-495f-aa10-993e43264422,anxiety_relief,18.7,6.3,2,True,-1.1038,-1
0cbf7634-c0d1-4b57-90ca-a38ea1da0336,50693876-1a56-4835-afd2-02615214121f,synth:track:eb4ec98b-d389-48c5-ac9e-95c0b57f836f,deep_focus,36.1,33.0,3,True,0.8842,0
c577c2a2-5831-42c4-9581-4a176ecb1de9,67933a4f-8731-406f-a24d-3995198e6701,synth:track:fbb737d8-7dc0-4f3f-8875-cd282c550280,sleep_induction,50.6,42.5,1,False,-1.8698,-1
a9a55ec4-910b-43e0-97a1-137fa480e4c9,478c058f-371a-4aa9-966b-5291a7ce3644,synth:track:c2a1c2d8-68ce-48a6-8a5e-3aca00bc899c,sleep_induction,51.1,36.3,3,True,-1.7013,-1
849f54d8-8060-4db6-bc15-fd22623cbef8,8c8f5366-ee2c-4a10-921c-cec03313532f,synth:track:9eeaa9b2-52c4-40c6-a388-13a371c8edac,anxiety_relief,42.4,26.3,2,False,-1.1297,-1
0a1d91f9-213e-4080-b535-4d5b4be5a826,f5280ed7-8010-4c66-bf0a-69a07f36b44e,synth:track:deb15d24-7955-482f-9732-46d110c7a1cf,sleep_induction,36.6,21.7,2,True,-1.8228,-1
83333921-bce1-4f80-8c32-48a35bdfa7ab,05baae6e-a884-4262-8c0d-92a94a9bba4f,synth:track:05bb3b04-9c27-4806-b294-fe396c741579,anxiety_relief,39.5,30.2,1,True,-1.0439,-1
6510ffce-ecbb-47e1-9398-ddbdaf1840bd,1527e8b1-9d46-4f17-89bb-f56043d49aba,synth:track:58638041-b10f-4064-8d73-1edeea275a5b,mood_uplift,41.3,42.1,5,True,0.2879,0
f8c1948f-7a51-4494-bb38-ae5590d760a0,c82be50f-5c16-448d-bf7c-f4b3fc58f14e,synth:track:8bef30fc-eb19-4201-a73c-edf3d8416fca,mood_uplift,54.7,54.9,4,True,0.8695,0
152054ea-4007-4ce2-b15a-dd5162e9dbb4,a4c7362b-667d-4171-8935-3018adad9722,synth:track:01fcde94-c30f-438a-9f5d-c0e8677fc488,deep_focus,26.0,15.1,4,True,-1.4239,-1
7b827f9b-d276-434f-8a0f-8e43ef263fa5,6a56c56f-5583-4250-8f3d-ec4069208d53,synth:track:b6c0bb27-6fb0-4a8f-8820-93b8fe229715,deep_focus,9.5,0.0,4,True,-1.7963,-1
323e1747-d316-4d07-81cd-b43af553bda0,dc8fa699-4478-40ae-a752-0bb0916da7b6,synth:track:b67defee-603f-4dfd-941b-31cad25d97f8,anxiety_relief,25.5,19.0,3,False,-1.1405,-1
5da5266f-3e98-41b7-81b0-bb671ebb586f,fd6d78bd-bc20-46ce-8e11-c59cf0293f87,synth:track:a99f18a1-0c12-4453-8295-e3f6b8508c6f,mood_uplift,38.8,41.4,3,False,1.0508,0
e0033e5d-ba33-47d3-858e-e0f0a36942d4,1e72e92f-ff0d-44e5-9df5-fdd20761b75e,synth:track:8325ece8-e51f-4186-9788-b0bf19cf8f0c,anxiety_relief,32.1,23.0,3,True,-1.2165,-1
021f2a04-48a9-4f4b-a9aa-523fece436b8,d72522c6-10dd-4b20-81a6-61719c186e59,synth:track:221d0821-db12-4337-a593-da115afd27ec,mood_uplift,39.1,41.1,5,True,0.3627,0
9175ee16-36f4-445c-8e30-831230e8fd4f,b8832228-0a6d-470c-aea7-3b25ba319483,synth:track:4cfd9140-b3be-4c5e-9876-3fa557223102,deep_focus,51.2,37.9,4,False,0.1949,-1
95c2b842-cd2b-4717-b543-f26dbbb6b1ae,22ac6edc-cfc5-430d-b409-b7d43e1f294a,synth:track:d8cef9fe-d6a2-437c-81aa-ca34a80cc04a,deep_focus,31.6,49.7,5,True,2.2521,1
879ae954-00be-444b-9bd5-2c7e64a76357,f04f196d-19b2-4e2c-b8a0-c0b382cdb8ad,synth:track:dac5876d-79c6-4092-9a74-ed43278c7b33,anxiety_relief,45.9,38.5,2,True,-1.0132,-1
fcc15c56-51b0-4f25-be59-5947e55cf340,38370edb-ee93-4a3b-a540-c74a945e7023,synth:track:3a8338e2-2102-4eb5-bd27-66e531285cc0,anxiety_relief,3.2,0.0,3,True,-1.0022,-1
e8815daf-346f-4f24-a2bb-edfa5444d29f,ba19b140-a88b-4cb3-8a05-926b9381d2f2,synth:track:785bfd4c-ef24-4a77-9008-48ccdb158424,mood_uplift,8.3,0.0,2,False,-0.0498,-1
643bcd4c-d47c-48b4-8180-62c4992696c0,be566ad9-970d-4820-aef4-7491a3550ddd,synth:track:053545ce-fdc6-4b1d-87a0-51f8d7b42e86,deep_focus,61.7,74.0,9,True,1.9767,1
603ec574-3bc0-46f4-8151-37dbaf488b75,047ff94a-33c1-4d3e-a952-fa73a300646a,synth:track:531ec945-2b92-4479-9c37-5b530d131fea,deep_focus,24.9,27.0,4,True,0.734,0
2eb5bd17-7fae-41ea-8f00-6e88f0c377fd,7d288565-39d5-4183-95e0-bcd8bc7d220c,synth:track:b1ce1dcd-9464-4e81-b239-f08d5b6faa73,anxiety_relief,23.2,8.9,2,True,-0.9185,-1
2f263a68-f035-468b-9de8-3d21b13c62c4,b4ac53a0-8332-466f-9077-51d662ff6133,synth:track:933c93c1-3d44-438a-a4a1-68e7804a1589,anxiety_relief,58.9,49.8,3,False,-1.0021,-1
6964ba12-bff3-4e0b-824c-774cc86af6db,65b0859d-84e8-48e5-94a4-550ad2f5a38d,synth:track:eedaaec2-d7af-447c-af22-78d46605a418,sleep_induction,49.9,31.6,4,True,-1.886,-1
cc6f68ed-6aa0-4857-a61e-5da6583fea47,c833bcfa-a3d2-43c8-bc5c-415ceabdb572,synth:track:65f5ed30-4665-47c1-80a6-31bfcb990653,sleep_induction,18.8,5.8,4,True,-1.7745,-1
82a9c4f0-f730-4ece-93d1-5d2d88727e17,512edd98-a88e-4bc1-ad27-2cc343c83230,synth:track:3367f0a9-f4b7-438c-af78-7c1d4b0f93a1,sleep_induction,17.3,36.2,8,True,1.9365,1
498fba97-7442-4444-9874-e9f86f589c69,848dcc74-b05c-4932-aec8-d9b7a84de771,synth:track:e5e0b14e-1032-49c0-a571-0682f24d7161,anxiety_relief,72.7,59.0,3,False,-0.9396,-1
1828e755-e315-4b4b-8f4e-1c1353adc6d4,c6f0b1a5-ffe6-4435-acc5-32913a4bf04e,synth:track:f99a2be9-387d-4a8c-89ab-0bcda666f050,sleep_induction,25.2,12.3,2,True,-1.6428,-1
f9f9a5cd-2e41-41e8-abf6-755a8180b7a2,b0b36e78-a6df-4a29-9dbb-dcd4fa3b33fd,synth:track:0a1082b0-ae63-478c-8887-4478ce9ee5c1,mood_uplift,36.5,21.6,2,False,0.1948,-1
626c7e36-0877-409b-b38e-8a9388e8a7cc,e9caeae7-cde1-4f5e-885a-5f9db4085e32,synth:track:6bebdf01-c6ca-4ab5-ba56-9fd94743b024,sleep_induction,65.0,48.3,2,True,-0.1733,-1
bf7d2607-18eb-46d2-9d17-38b5350126fd,99603db0-0f59-468e-b88d-ed8331bcce8b,synth:track:599409a0-0b05-400c-867b-c689b6c5eeff,sleep_induction,55.5,49.4,3,False,-2.0654,-1
c334d8cb-537a-40a6-b72a-fdb03620cf99,e9caeae7-cde1-4f5e-885a-5f9db4085e32,synth:track:b01d9b6e-a297-4439-a927-8133418e8343,sleep_induction,76.6,76.9,5,True,0.3403,0
5ca2ade2-6b26-40dc-b628-25445d48b136,29953a06-61e8-41da-a0b4-3a7af5af6d34,synth:track:071a8de8-a236-441e-af15-8dabf0f92832,anxiety_relief,40.1,25.9,3,True,-1.1817,-1
ddefb12f-7cb2-44f6-8d1a-3d45fd99894e,d954a034-8497-4e46-88d3-9281838137ea,synth:track:364ec836-ce62-481a-a5a9-9c5ff339d7a8,anxiety_relief,8.7,0.0,2,True,-0.9036,-1
bd00b318-20d1-4d91-a5d5-ab78c35d4b2c,a945b385-b72c-4029-8e32-a0c66dd28988,synth:track:1d7fb4a0-616a-42c1-9e0a-89f9d90b6c45,sleep_induction,11.8,5.1,2,True,-1.8096,-1
b0214ba6-8cd1-4e8a-a038-d51fca9abfc9,8bc30954-bd75-4857-a81a-0d99d45de869,synth:track:b007d5ad-919f-47f1-bf28-a315b8387a78,anxiety_relief,12.5,0.7,1,True,-0.8661,-1
